"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that endpoint still function correctly after a network cut.","495939","test_endpoints_network_cut","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_metrics","",""
"Build and deploy one unit of MongoDB.","387943","test_build_and_deploy","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_sharding_backups","",""
"","9179","test_shards_cannot_run_backup_actions","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_sharding_backups","",""
"Verify removed applications no longer have access to the database.","30472","test_removed_relation_no_longer_has_access","tests.integration.mongodb.relations","2026-01-31","passed","2026-01-31","","test_relations","",""
"","882","test_user_can_write","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_sharding_ldap","",""
"Only integrate ldap endpoint, should go into blocked state.","10684","test_integrate_ldap_only","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_sharding_ldap","",""
"","52232","test_teardown","tests.integration.mongos.ldap","2026-01-31","passed","2026-01-31","","test_ldap","",""
"We want to ensure that we can log in using the ldap userToDNMapping.

    So we update the config for both and we log in with the user and check that we can
    still write in the DB.
    ","35327","test_ldap_user_to_dn_mapping","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_ldap","",""
"Tests the immediate integration of cluster components works without error.","507825","test_immediate_relate","tests.integration.mongodb.ha","2026-01-31","passed","2026-01-31","","test_sharding_race_condition","",""
"With only certs relation it should also go to blocked.","65160","test_remove_ldap_certs_goes_to_blocked","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_ldap","",""
"","240434","test_deploy_charms","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_backups","",""
"Tests that upgrade can be ran successfully.","135174","test_failed_upgrade_and_rollback","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_rollback","",""
"","10095","test_backup_mongodb_7","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_sharding_major_upgrades","",""
"Test that the password can't be set to an empty string.","99421","test_empty_password","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_charm","",""
"Verify that the pre-refresh check succeeds in the happy path.","56933","test_pre_upgrade_check_success","tests.integration.mongodb.upgrades","2026-01-31","passed","2026-01-31","","test_sharding_upgrades","",""
"Tests that sharded cluster can successfully create and list backups.","16172","test_create_and_list_backups_in_cluster","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_sharding_backups","",""
"Only integrate ldap endpoint, should go into blocked state.","19389","test_remove_ldap_goes_to_blocked","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_sharding_ldap","",""
"Test that two different application connect to the database with different credentials.","87625","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.mongodb.relations","2026-01-31","passed","2026-01-31","","test_relations","",""
"Build and deploy 2 config servers, one shard and one mongos.","65705","test_build_and_deploy","tests.integration.mongodb.ha","2026-01-31","passed","2026-01-31","","test_sharding_race_condition","",""
"Verifies that using a replica as a config-server fails.","28701","test_replication_shard_relation","tests.integration.mongodb.relations","2026-01-31","passed","2026-01-31","","test_sharding_relations","",""
"Simple backup tests that verifies that writes are correctly restored.","984546","test_backup_restore","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_sharded_backups_tls","",""
"Verify that endpoints still function correctly after the stats user password changes.","139915","test_endpoints_new_password","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_metrics","",""
"Build and deploy a sharded cluster.","667706","test_build_and_deploy","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_tls","",""
"","234981","test_full_cluster_crash","tests.integration.mongodb.ha","2026-01-31","passed","2026-01-31","","test_ha","",""
"Tests race condition: mongos charm can integrate with TLS and then the config-server.","440754","test_mongos_tls_enabled","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_tls_race_condition","",""
"Verify that a config-server and shard can safely rollback without losing writes.","770955","test_rollback_on_shard_and_config_server","tests.integration.mongodb.upgrades","2026-01-31","passed","2026-01-31","","test_sharding_rollback_cluster_components","",""
"Build and deploy one unit of MongoDB.","449352","test_build_and_deploy","tests.integration.mongodb.upgrades","2026-01-31","passed","2026-01-31","","test_sharding_upgrades","",""
"Build and deploy one unit of MongoDB.","214743","test_build_and_deploy","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_sharding_tls_correct_relations","",""
"Build and deploy a sharded cluster.","268797","test_build_and_deploy","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_tls_race_condition","",""
"","544402","test_network_cut","tests.integration.mongodb.ha","2026-01-31","passed","2026-01-31","","test_network_cut","",""
"Sanity check that endpoints are running.","489","test_endpoints","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_metrics","",""
"Test the data consistency between the primary and secondaries.

    Verifies that after writing data to the primary the data on
    the secondaries match.
    ","38714","test_replication_data_consistency","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_charm","",""
"Tests that the cluster, when integrated with peer TLS, allows non TLS client relations.","658841","test_built_cluster_with_peer_tls","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_single_tls_sharding","",""
"Simple backup tests that verifies that writes are correctly restored.","193639","test_restore","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_backups","",""
"Tests that TLS is stable on nodeport enablement/removal.","0","test_mongos_tls_nodeport","tests.integration.mongos","2026-01-31","skipped","2026-01-31","","test_tls","",""
"Deploy a shard, integrate it but only the config server has TLS.

    Then remove it and it should remove immediately and keep the relation to
    config-server status.
    ","117046","test_invalid_relation_not_yet_established","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_sharding_tls_inconsistent_rels","",""
"Integrate the config server as well, everything should be green.","85811","test_glauth_fully_integrated","tests.integration.mongos.ldap","2026-01-31","passed","2026-01-31","","test_ldap","",""
"","42507","test_integrate_also_ldap_cert","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_sharding_ldap","",""
"Build and deploy one unit of MongoDB.","373728","test_build_and_deploy","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_ldap","",""
"","137663","test_build_and_deploy","tests.integration.mongodb.upgrades","2026-01-31","passed","2026-01-31","","test_revision_checker","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the mongod
    properly uses the storage that was provided. (ie. doesn't just re-sync everything from
    primary, but instead computes a diff between current storage and primary storage.)
    ","505322","test_storage_re_use_lxd","tests.integration.mongodb.ha","2026-01-31","passed","2026-01-31","","test_ha","",""
"Tests that mongos has user by running a check with authentication.","1127","test_mongos_has_user","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_charm","",""
"Tests clusters behavior when scaling down a minority and removing a primary replica.","1","test_scale_down_capabilities_microk8s","tests.integration.mongodb.ha","2026-01-31","skipped","2026-01-31","","test_ha","",""
"Build and deploy one unit of MongoDB.","140429","test_build_and_deploy","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_charm","",""
"Check that we can create user with extra roles, and that it is accessible.","1765","test_user_with_extra_roles","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_internal_relation_kubernetes","",""
"Tests that the local shard reports remote config-server.","31189","test_local_shard_reports_remote_config_server","tests.integration.mongodb.upgrades","2026-01-31","passed","2026-01-31","","test_revision_checker","",""
"Tests that we can create a backup, and that it is listed in the backups.","18196","test_create_and_list_backups","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_backups","",""
"Deploy both charms (application and database) to use in the tests.","271013","test_deploy_charms","tests.integration.mongodb.relations","2026-01-31","passed","2026-01-31","","test_relations","",""
"","161902","test_restore_backup_7_to_8","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_sharding_major_upgrades","",""
"Simple backup tests that verifies that writes are correctly restored.","279866","test_backup_restore","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_backups_tls","",""
"Verify each unit has TLS disabled after removing relation to the TLS application.","112034","test_disable_tls","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_tls","",""
"Test that an application can connect to different clusters of the same database.","35502","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.mongodb.relations","2026-01-31","passed","2026-01-31","","test_relations","",""
"Tests that each cluster component can rotate TLS certs.","1372162","test_rotate_tls","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_sharding_tls_correct_relations","",""
"","62842","test_remove_integration","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_sharded_backups_tls","",""
"Build and deploy one unit of MongoDB.","615050","test_build_and_deploy","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_sharding_ldap","",""
"Build and deploy one unit of MongoDB.","161646","test_build_and_deploy","tests.integration.mongodb.ha","2026-01-31","passed","2026-01-31","","test_scale_up_down","",""
"","0","test_check_max_tasks","tests.integration.mongodb","2026-01-31","skipped","2026-01-31","","test_charm","",""
"Tests safe removal of a shard that is not primary.","261800","test_removal_of_non_primary_shard","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_sharding","",""
"Verifies that when the cluster is formed a the user is removed.","46282","test_disconnect_from_cluster_removes_user","tests.integration.mongodb.relations","2026-01-31","passed","2026-01-31","","test_mongos","",""
"Build and deploy a sharded cluster.","312720","test_build_and_deploy","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_rollback","",""
"Relates, takes a backup.","58852","test_backup_mongodb_6","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_major_upgrades","",""
"Verifies that the preflight check can run successfully.","50832","test_preflight_check_failure","tests.integration.mongodb.upgrades","2026-01-31","failed","2026-01-31","","test_upgrade","",""
"Test that log are being rotated.","1726294","test_log_rotate","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_charm","",""
"Test superuser actions (ie creating a new user and creating a new database).","2060","test_user_with_extra_roles","tests.integration.mongodb.relations","2026-01-31","passed","2026-01-31","","test_relations","",""
"Build and deploy a sharded cluster.","136465","test_build_and_deploy","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_charm","",""
"Build and deploy one unit of MongoDB and one unit of TLS.","175673","test_build_and_deploy","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_tls","",""
"","10166","test_backup_mongodb_7","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_major_upgrades","",""
"Test that audit log was created and contains actual audit data.","279","test_audit_log","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_charm","",""
"Build and deploy one unit of MongoDB and one unit of TLS.","555325","test_build_and_deploy","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_single_tls","",""
"Checks that the LDAP user can write to the DB.

    This checks both authentication and authorisation.
    ","1381","test_user_can_write","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_ldap","",""
"Verify mongos is running and can be accessed externally via IP-address.","372793","test_mongos_starts_with_config_server","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_external_relation","",""
"Tests clusters behavior when scaling down a minority and removing a primary replica.

    - NOTE: on a provided cluster this calculates the largest set of minority members and removes
    them, the primary is guaranteed to be one of those minority members.

    This test verifies that the behavior of:
    1.  when a leader is deleted that the new leader, on calling leader_elected will reconfigure
    the replicaset.
    2. primary stepping down leads to a replica set with a new primary.
    3. removing a minority of units (2 out of 5) is feasiable.
    4. race conditions due to removing multiple units is handled.
    5. deleting a non-leader unit is properly handled.
    ","91161","test_scale_down_capabilities_lxd","tests.integration.mongodb.ha","2026-01-31","passed","2026-01-31","","test_ha","",""
"Verify that the config-server can safely rollback without losing writes.","345954","test_rollback_on_config_server","tests.integration.mongodb.upgrades","2026-01-31","passed","2026-01-31","","test_sharding_rollback","",""
"Tests that the cluster can be integrated with TLS.","711577","test_built_cluster_with_tls","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_sharding_tls_correct_relations","",""
"Verifies that the application and unit are active.","15443","test_status","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_charm","",""
"","703309","test_tls_inconsistent_rels","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_sharding_tls_inconsistent_rels","",""
"Tests juju remove-unit functionality.

    This test verifies:
    1. multiple units can be removed while still maintaining a majority (ie remove a minority)
    2. Replica set hosts are properly updated on unit removal
    ","74689","test_scale_down","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_charm","",""
"Test password is updated for the charmed-stats user.","25559","test_update_password_for_charmed_stats_user","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_charm","",""
"Verifies charm goes into active status when s3 config and creds options are correct.","76602","test_ready_correct_conf","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_backups","",""
"Build and deploy one unit of MongoDB.","515368","test_deploy_mongodb_6","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_sharding_major_upgrades","",""
"Deploys mongos and data integrator, and integrates both.

    Then integrate mongos and sharded cluster.
    ","89271","test_build_and_deploy_mongos","tests.integration.mongos.ldap","2026-01-31","passed","2026-01-31","","test_ldap","",""
"Tests that mongos can disable external connections.","63628","test_mongos_disable_external_connections","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_external_relation_kubernetes","",""
"Verify hosts are up to date after scaling.","328583","test_mongos_can_scale","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_external_relation","",""
"Verify that the pre-refresh check fails if there is a problem with one of the shards.","184318","test_pre_upgrade_check_failure","tests.integration.mongodb.upgrades","2026-01-31","passed","2026-01-31","","test_sharding_upgrades","",""
"Test that when charm is missing pbm information that it reports that.","220490","test_blocked_missing_config","tests.integration.mongodb.backups","2026-01-31","passed","2026-01-31","","test_backups","",""
"Verify each unit has TLS enabled after relating to the TLS application.","287012","test_enable_tls_client_only","tests.integration.mongodb.tls","2026-01-31","passed","2026-01-31","","test_single_tls","",""
"Scale up and down the application and verify the replica set is healthy.","1706632","test_scale_up_down","tests.integration.mongodb.ha","2026-01-31","passed","2026-01-31","","test_scale_up_down","",""
"Verifies that the upgrade can run successfully.","562467","test_upgrade","tests.integration.mongodb.upgrades","2026-01-31","passed","2026-01-31","","test_upgrade","",""
"Refreshes the charm and wait for it to be active again.","183409","test_upgrade","tests.integration.mongos","2026-01-31","passed","2026-01-31","","test_upgrade","",""
"Build and deploy one unit of MongoDB.","209168","test_deploy_mongodb_6","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_major_upgrades","",""
"","47210","test_restore_backup_6_to_7","tests.integration.mongodb","2026-01-31","passed","2026-01-31","","test_major_upgrades","",""
"Verify that sharding components cannot use the DB relation.","36263","test_cannot_use_db_relation","tests.integration.mongodb.relations","2026-01-31","passed","2026-01-31","","test_sharding_relations","",""
"Integrate the second relation, we should end up with everything active.","40483","test_integrate_ldap_cert","tests.integration.mongodb.ldap","2026-01-31","passed","2026-01-31","","test_ldap","",""
"Verify that a shard can only be related to one config server.","45495","test_only_one_config_server_relation","tests.integration.mongodb.relations","2026-01-31","passed","2026-01-31","","test_sharding_relations","",""
"Build and deploy one unit of MongoDB.","238145","test_build_and_deploy","tests.integration.mongodb.upgrades","2026-01-31","passed","2026-01-31","","test_rollback","",""
